category,Contributions
Organisation de l’Etat et des collectivités publiques,"Promesses suite et comment les tenir                5/« nous réduirons d’environ un tiers le nombre de députés et de sénateurs »
Pour les promesses 2 et 3 normalement prévues le 01 11 2019 et le 01 01 2020 Pour la promesse 4 :notre proposition : « imposition au même titre que les autres entreprises » 
 Pour moi, il n’y a pas de questions interdites. Nous ne serons pas d’accord sur tout, c’est normal, c’est la démocratie »
  1/ suppression de la flat taxes ou augmentation du taux 
Bercy révèle que les cent premiers contribuables à l'ISF verront leur imposition sur leurs revenus financiers baisser pour chacun en moyenne de 582.380 euros par an avec la flat taxes.Ces foyers bénéficieront donc d'un allégement de 572 millions d'euros en 2018 et de 836 millions en 2019.Vincent Eblé (Président de la commission des finances  ) juge    leur coût  à  4,5 milliards en 2018 et 5,1 milliards en 2019.
  2 / rétablissement de l isf
Ce qui représenterait  un gain de  5 milliards d euros 

"
"Impôts, dépenses, action publique","Création de Contrats de Travail Longue Durée pour les + de 50 ans avec subvention en fin de contrat Nécessité de créer des vrais contrats de travail aidés pour les + de 50 ans  au chômage afin qu'ils puissent accéder à des emplois durables permettant au salarié de pouvoir rester en poste le plus longtemps possible.

L'aide pour l'employeur serait versée à 20% en début de contrat, et à 80% en fin de contrat.

L'employeur pourrait recevoir une prime additionnelle s'il garde le salarié jusqu'à son départ à la retraite.

Ce contrat aurait une durée d'un an minimum à dix ou douze ans.

Afin de faire changer les mentalités et les pratiques des recruteurs, les pouvoirs publics et Pole Emploi devront communiquer de manière affirmée sur la nécessité de faire travailler toutes les catégories d'âge au sein des entreprises, des jeunes jusqu'aux seniors, et que la discrimination à l'embauche devra être réprimée.
"
"Impôts, dépenses, action publique","Inflation fin 2018 à 1.85%, et la retraite a augmentée que de 0.3% au 1er Janvier. De combien de % aurait t'elle dû augmenter et pourquoi ?? Impôts, dépenses, action publique !!"
"Impôts, dépenses, action publique","Réalisation d'économies, impôts et transparence des coûts pour les citoyens Bonjour,
Je propose que l'on utilise d'avantage les rapports de la cours des comptes et que l'on présente régulièrement et de façon simple aux Français le coût (surtout pour ceux qui paient des impôts) de certains événements ou les coûts de fonctionnement de certaines organisations nationales. 
Concernant certaines dépenses publiques, aux vues de leur intérêt limité dans la vie de nos concitoyens (j'entends par là que ces dépenses sont superflues et n'impactent pas notre quotidien), on pourrait allouer ces économies à des activités qui génèrent de la valeur ajoutée à l'économie et aux concitoyens. 
Voilà quelques pistes de réflexion... basées sur la rationalisation et le bon sens.
"
Transition écologique,"La rénovation énergétique: la France en retard sur ses objectifs Aujourd'hui, 288 000 logements privés font l'objet d'une rénovation performante chaque année. 54 000 sont des passoires thermiques et 35% de ces logements sont occupés par des ménages précaires.
La loi de transition énergétique prévoit:
- L'élimination des passoires thermiques en 2025
- 500 000 rénovations ""performantes""  dans le privé
- Réduction de la précarité énergétique de 15% en 2020 par rapport à 2015
(source Novethic.fr)
La France est en retard sur ses objectifs
 "
Organisation de l’Etat et des collectivités publiques,"Retour des EVS dans les écoles Ces postes si utiles aux directeurs d'école ont été supprimés.
Ces contrats aidés permettaient aux citoyens de retrouver un emploi et étaient très utiles aux directeurs.
Ces contrats sur des postes à temps partiel mériteraient d'être remis en place avec un nombre d'heures plus important."
,"Impôt sur le revenu (IRPP) pour tous Tous les français devraient être soumis à l’IRPP (impôt sur les revenus). Il n’est pas acceptable dans un pays démocratique que seuls 46% des français le paye). Il doit y avoir une adhésion générale à cet impôt dont la redistribution profite à tous.
Si ce n’est pas possible, il faut alors passer à la CSG pour tous."
"Impôts, dépenses, action publique","Aménager l’existant au profit de nouveaux axes  Dans le domaine routier et ferroviaire il existe nombre de projet d’aménagement du territoire. Dans bon nombre de cas un projet neuf peut être mis en concurrence avec l’aménagement de l’existant. Par exemple privilégier le doublement sur place la RN184 à une A104 neuve, privilégier la création d’un tunnel sur la jonction Rocade Arc en Ciel / A64 en lieu et place d’une autoroute entre le sud de Toulouse et l’A64 à travers champs, créer un tunnel sous l’ouest Lyonnais pour relier la D342 et l’A450 en lieu et place de l’anneau des sciences, mettre à niveau l’ensemble du linéaire routier Lens / Armentières & la frontière belge en lieu et place du contournement sud est de Lille. Ces pratiques peuvent permettre de réduire de moitié le coup initial des projets. Ce qui n’est pas dépenser est à rediriger massivement vers la complémentation en transport en commun et train, pour compléter l’offre de transport."
"Impôts, dépenses, action publique","Rééquilibrage économique -Suppression de la TVA sur les produits de 1ère nécessité. Malte, l'Irlande et le Royaume Uni appliquent une taxe de 0% sur les produits alimentaires de base
- Diminution de la TVA sur l'eau, le gaz, l'électricité ainsi que leur abonnement"
Démocratie et citoyenneté,"Création de l'Assemblée constitutante - Convoquer un référendum pour engager le processus constituant (modalités de la composition de l'Assemblée constituante, mode de scrutin, parité, tirage au sort et incompatibilité, modalités de la délibération, association des citoyens aux travaux...)
- le projet de Constitution proposé par l'Assemblée constituante sera soumis à un référendum d'approbation
-Les délégués à l'Assemblée constituante ne pourront être candidats aux élections suivant l'entrée en vigueur de la nouvelle Constitutiton"
Démocratie et citoyenneté,"Réorientation de la construction européenne - Les critères de Maastricht et de Lisbonne doivent être revus afin que l'Europe devienne enfin une Europe sociale ""assimilée"" par tous les citoyens européens et non pas seulement une Europe financière. 
- Le droit de véto des pays à l'intérieur de l'Europe doit être changé afin que les décisions ne soient plus ""bloquées"" par un seul pays.
 "
"Impôts, dépenses, action publique","L'âge de la colère: ""vers un âge de l’inventivité""  Il est temps que le gouvernement prenne la mesure de la déception démocratique des citoyens et de leur colère. 
Christine Lagarde a  préconisé un nouveau système de taxation internationale. ""Les entreprises ont maintenant une présence planétaire, mais les gouvernements n'ont pas trouvé la bonne réponse fiscale"", les stratégies d'optimisation fiscale  laissent ""trop de recettes d'impôts sur la table"". 
Sans cette ""coopération internationale ré-imaginée"", d'ici 2040, cet ""âge de la colère"" verrait des géants monopolistiques de la technologie face à des Etats faibles, des catégories favorisées de la population quand des millions d'autres souffriront de pauvreté. 
Christine Lagarde préconise un ""âge de l'inventivité"" où
-  les économies profiteront des énergies renouvelables, 
- une plus forte intégration des femmes dans le monde du travail 
- les grandes entreprises doivent faire preuve de responsabilité sociale. 
"
"Impôts, dépenses, action publique","Une heure par jour pour se donner un avenir Il me semble évident, qu'il est nécessaire que la nation se donne les moyens pour relever ses défis du moment et assumer ses valeurs. Or devant le constat déficitaire de notre budget et de l'inflation, il est difficile d'imaginer l'ajout d'un nouvel impôt.
Je propose donc un retour au 40h pour l'ensemble des salariés pendant une durée déterminée et renouvelable par référendum après présentation des résultats.  Les revenus produits par cette heure supplémentaire seraient versés à l'état si le salarié perçoit un revenu déjà confortable sinon ils rejoignent ses revenus et ils sont soumis aux cotisations. De plus les entreprises devront versés également la part patronale inhérente s'ils sont dans une situation économique au moins supportable sinon ils seront exempt de cotisation (soutien au PME ou entreprise en forte concurrence) 
"
"Impôts, dépenses, action publique","Impots  à la source *Pour la fiscalité :
Refonte du barème de l impôt sur les revenus :
Notre  proposition  :
Avant 9806 euros ..... 0%
De 9807 à 18447 .... 7% 
De 18448 à 27085 ..... 14% 
De 27086 à 49852 ... .22 %
De 49853 à 72617 .... 30 %
De 72 618 à 153 783 .. 42%
Supérieur à 153784..... 47%
Et pour les puristes de l Article 13 de la Déclaration des droits de l'homme et du citoyen de 1789 :
- Pour l'entretien de la force publique, et pour les dépenses d'administration, une contribution commune est indispensable ; elle doit être également répartie entre les citoyens, en raison de leurs facultés

Notre solution :
un prélèvement de 0.5%  pour la tranche avant 9806 euros et  1 %  ensuite sur le revenu fiscal de référence des foyers non imposables ( certains foyers fiscaux sont non imposables grâce aux  diverses réductions  ou  crédits  d impôts   ex : la loi pinel etc....)

"
"Impôts, dépenses, action publique","Rationaliser les acteurs du stokage de la paie en ligne A l'heure actuelle l'état autorise 18 acteurs a conserver et distribuer la paie en ligne. 13 nouveaux acteurs doivent arriver d'ici 2020 sur le créneau. Ces acteurs sont visibles sur le site : https://www.moncompteactivite.gouv.fr . Cela va créer 31 sociétés en droit de concerver la paie en ligne. Cela gènére une complexité administrative au lieu d'un guichet unique. Trop d'entreprises de la sorte imposent aux travailleurs précaire de s'inscrire à des dizaines de sociétés au grés de leurs contrat CDD/Intérim.  Pour des documents aussi important que les fiches de paies pour la retraite il faut rationaliser le nombre d'acteurs qui archivent . Pour exemple la Belgique a mis en place un guichet unique avec doccle.be.    
"
Transition écologique,"Mesures permettant de réduire durablement la dépendance des  Français à la voiture - Soutenir à hauteur de 1 milliard d’euros sous le quinquennat le 
financement de nouveaux transports en commun
- Monter à 200 millions par an le soutien au développement du vélo
(infrastructures sécurisées notamment)
-  Préserver les lignes de  train actuellement menacées (9000 km en France) 
- Lutter contre l’étalement urbain et l’allongement des distances entre le domicile et les  lieux d’activités (travail et loisirs). Cela doit notamment passer par la mise en place d’un moratoire sur les nouvelles surfaces commerciales en périphérie et les extensions des 
surfaces existantes ainsi que par l’arrêt des projets routiers et autoroutiers qui, de fait, augmenteront le trafic
- Instaurer une équité fiscale car aujourd’hui, alors que la fiscalité écologique augmente  pour les Français, certains secteurs qui pourtant, polluent fortement et émettent des gaz à effet de serre, en sont partiellement ou totalement exonérés (transport routier de 
marchandises et transport aérien)"
"Impôts, dépenses, action publique","Abonnement, facture, TVA télécom sur les objets connectés & la télésurveillance  Avec le déploiement de la fibre, les particuliers sont amenés à s’équiper de plus en plus en domotique et matériel aux dernières normes (objets connectés, alarme, détecteurs incendies … ) . Ce marché pèse à lui seul 2 milliards d’euros. Ces nouveaux services imposent aux particuliers de passer par des professionnels afin de bénéficier d’abonnement pour les communications dites de « machine à machine / M2M ». Les opérateurs télécoms ont interdictions de vendre des abonnements classiques pour les communications inter machines. L’état a trouvé moyen d’imposer au consommateur de faire appel à 2 professionnels, l’un pour les installations techniques, l’autre pour les abonnements. Résultat les particuliers se retrouvent à payer de plus en plus de TVA et taxe sur ces services. L’Europe est venue ajouter une couche de taxe avec le « paquet télécom » de 2015. Un système doit permettre de n’avoir à payer qu’une fois la TVA et non 2. Recettes à rediriger pour la police et les pompiers."
Transition écologique,"Mesures d'urgence nécessaires au changement de dépendance à la voiture & la prime à la conversion:  
- Pour changer de mode de déplacement, la prime à la conversion ne doit pas uniquement porter sur un changement de voiture mais être transformée en une «prime à la mobilité durable ». 
Elle devrait donc être ouverte à d’autres modes de transports (vélo, vélo électrique, abonnement à un service d’autopartage, covoiturage, etc.) 
- Le Gouvernement a annoncé que l’actuelle indemnité kilométrique vélo (qui permet de se faire rembourser une partie des frais de déplacements domicile travail effectué à vélo) serait 
transformée en « forfait mobilité durable » donc ouvert également à d’autres solutions que le vélo comme le covoiturage. Cependant, ce forfait, qui, jusqu’à un certain montant est défiscalisé, demeure à ce jour optionnel et devrait être rendu obligatoire pour l’employeur
pour que tous les travailleurs y aient accès
"
,"Revaloriser les impôts et recréer l'ISF Assurer des recettes publiques suffisantes

Quelques exemples donnent à voir les marges de manœuvres existantes sur les recettes publiques :
+ Rétablir l’ISF, et annuler la « flat tax » sur les revenus du capital
+ Créer deux nouvelles tranches fiscales à l’impôt sur le revenu pour les 5 % (une nouvelle tranche) et les 1 % (deux tanches nouvelles) de revenus les plus élevés
+Assurer une progressivité de la CSG (et surtout du RDS)
+Créer des nouvelles tranches d’impôt sur les successions pour les 1 % des transmissions les plus importantes, en intégrant bien sur la valeur des donations entre vivants, mais en protégeant la transmission des outils de travail vers des formes coopératives ….
+Renforcer la lutte contre l’évasion fiscale, au travers d’un prélèvement à la source de l’IS , avec  une provision prélevée en fonction du CA  en France (2 à 3 % par exemple), la transformation  de ce prélèvement en IS étant limité à la baisse (50 % par exemple)
"
Organisation de l’Etat et des collectivités publiques,"Une justice qui mérite ""son nom"" & Mettre fin à la paupérisation de la justice et de l'administration pénitentiaire
-Mettre en oeuvre un plan de recrutement de personnels pour désengorger les tribunaux
- Rénover et construire de nouveaux locaux pour les tribunaux
- Mettre fin au tout carcéral par des peines alternatives à la prison, rénover les prisons pour garantir la dignité humaine, assurer la socialisation des détenus
& Remplacer le Conseil supérieur de la magistrature par un  Conseil supérieur de la justice désigné pour partie par les magistrats et le Parlement, débattues et votées par le Parlement
"
Transition écologique," Protection de la biodiversité Prise en compte de la protection de la biodiversité dans les politiques publiques :
- respect par l'Etat français de la directive européenne 2009/147/CE (appelée plus généralement directive Oiseaux) du 30 novembre 2009 qui impose aux états membres la fermeture de la chasse des oiseaux migrateurs, au plus tard le 31 janvier, afin de permettre aux populations reproductrices de regagner leurs territoires de nidification en toute quiétude. 
- Protection intégrale des zones humides.
- Interdiction de la chasse aux populations d'oiseaux en mauvais état de conservation selon la liste rouge de l'UICN.
- Interdiction du piégeage pour l'ensemble de la faune sauvage.
- Interdiction de la chasse de nuit
"
"Impôts, dépenses, action publique","Ethique du capitalisme Il est maintenant temps de ""réinvestir"" le capitalisme
Dans ce sens, il est maintenant urgent de veiller à :
-  La domiciliation fiscale française des grandes entreprises dont les multinationales(Cac 40, 120 entreprises françaises et celles où l'Etat français a une participation...)
- Le rétablissement de l'ISF et la suppression du CICE pour les entreprises ne réinvestissant pas  pas mais rétribuant ""grassement"" leurs actionnaires
- La taxation des GAFA
- La taxation des transactions financières
- La limitation des salaires des chefs d'entreprises, traders, hauts cadres du privé et du public
- La transparence sur les écarts salariaux dans toutes les entreprises
-  Des sanctions renforcées (et appliquées) pour les entreprises, chefs, dirigeants ne respectant pas la loi
- L'augmentation de la tranche d'impôts pour les revenus du capital (30% sont insuffisants)
- Suppression des niches fiscales
"
"Impôts, dépenses, action publique","Dos d’ânes, malfaçons, non-respect des normes et scandales financiers  Sur les voiries publiques en France on récence environs 80 à 90 000 dos d’ânes et autres ralentisseurs en tout genre. Ces équipements coutent en moyennes 5000 € pièce. Les intercos en gèrent près de 67 000 et 18 000 pour les départements. Deux chiffres pour avoir une idée. La ville de Nice dispose de 1 ralentisseur pour 1000 habitants et le CG34 1 ralentisseurs pour 3300 habitants sur les routes départementales. Cela représente 500 millions d’€ d’argent publiques. A noter un récent rapport a pointé du doigt le non-respect des normes de sécurités 40% pour ces infrastructures. Résultat les collectivités doivent de nouveau passer à la caisse pour 200 millions supplémentaires. Sécuriser les voiries ne doit plus se faire au détriment du gaspillage d’argent publique. Ce type d’aménagement est particulièrement dangereux pour les motards ainsi que les véhicules d’urgence."
,Indemnités chômages Suppression des indemnités chômage pour les travailleurs frontaliers qui ne versent pas leurs cotisations en France ou plafond indexé sur les salaires Français
Organisation de l’Etat et des collectivités publiques,"Suppression des comités et commissions Théodule  Il existe encore 400 comités de la sorte en France, avec un budget moyen de 50 000 € par an. Cela représente un cout de fonctionnement annuel de 200 millions d’euros. Encore trop de comités sont créés sans réels but ou alors dure dans le temps sans réellement avoir d’impact. Pour des questions d’économie de l’argent publique, ce type d’organisme est à supprimer."
"Impôts, dépenses, action publique","Automatisation des contrôles, dérives et fraudes L’automatisation des péages voulus par l’état n’apporte pas que des bonnes choses. Pour preuve l’état souhaite que le système se base sur les « plaques d’immatriculation ». Le problème qui se pose est la fraude liée aux « doublettes » de plaque. L’élément sécurité n’est pas suffisamment pris en compte. On doit contraindre l’état et les sociétés privées à rendre « unique » chaque véhicule, via un système de badge, de vignette ou de puce pour empêcher toute fraude. Sinon on peut rouler en toute impunité avec la plaque de son voisin et celui-ci supportera la fraude …"
,"Réduction du parlement et chambre monocaméral  Au lieu d’avoir 348 sénateurs, 577 députés et 233 conseillers du CESE, je propose la réduction à un parlement monocaméral. Pour simplifier la chose, 1 parlementaire par département, soit une centaine, pas un de plus pas un de moins."
,"Suppression des aides et allocations des familles ou la délinquance règne  Encore trop souvent l’état et les collectivités donnent de l’argent à des familles ou le « menfoutisme » est le mot d’ordre. Résultat la délinquance règne. Pour des questions de logique d’une part et de respect d’autre part. C’est couper le robinet des aides autres allocations à ce type de famille. Le contribuable lambda n’est pas un robinet inépuisable en termes d’argent. Le respect s’apprend, quand on ne respecte rien on n’a droit à rien. "
Organisation de l’Etat et des collectivités publiques,"Les ratés de l’informatique de l’état, Louvois, opérateur national de paie, etc …  Depuis la fin des années 2000 les bourdes et autres projets informatiques couteux en termes d’investissement sont légions pour l’état. On peut citer Louvois et quelques 350 millions d’€ jetés par les fenêtres, l’opérateur national de paie pour 350 millions également ou encore 500 000 cartes grises bloquées via un web service défaillant. En revissant ces cahiers des charges l’état peut engager des simplifications en manières de gestion de l’infrastructure informatique nationale. Il en va de même avec le nombre de sites internet géré par l’état. L’offre est trop prolifique, une certaine rationalisation est à engager  (coup pour gérer 3 sites de l’assurance retraite, coup pour gérer 2 sites internet de l’assurance maladie + DMP … )."
,"Réforme & allégement des programmes scolaires Les programmes des scolaires des collégiens et lycéens sont d’une lourdeur sans pareil. Il convient de recentrer et élaguer les matières inutiles. On doit prioriser les maths, le français, l’histoire-géo, l’éducation civique & juridique, l’anglais, une LV2 et le sport. Les autres matières plus « théoriques » que sont l’économie, la philo, les technologies, l’informatique, les sciences naturelles, la physique-chimie, l’art plastique & la musique doivent être optionnelles et maximum au nombre de 3. Au-delà nous formons des lycéens ou cela devient du bourrage de crâne et du bachotage improductif"
Organisation de l’Etat et des collectivités publiques,"Suppression  redevance audiovisuelle Je propose la suppression de la redevance audiovisuelle ; impôt injuste car non payé par tout le monde , en plus les programmes proposés sont insuffisants et constamment coupés par les publicités   abusives à la consommation ; un profond ras le bol "
Autre sujet,"Promesses de Mr Macron          Nous demandons que le gouvernement entérine au   01 04 2019 les promesses  faites figurant dans son programme comme:
               1/ Option d’individualisation pour l’impôt sur le revenu  « Création d'une option d'individualisation de l'impôt sur le revenu pour les contribuables soumis à imposition commune (mariés ou unis par un Pacs) ».
  2/ « L’allocation adultes handicapés (AAH), pour une personne seule, est aujourd'hui d'environ 800 euros par mois : nous la porterons au-delà de 900 euros par mois »   
 3/ « Nous réduirons la pauvreté des personnes âgées. Le minimum vieillesse, pour une personne seule, est aujourd'hui d'environ 800 euros : nous le porterons au-delà de 900 euros » 
               4/« Nous imposerons les grands groupes de l’Internet sur leur chiffre d’affaires réalisé sur notre sol ».... 
             

 Pour la promesse 4 : : « imposition au même titre que les autres entreprises » 

"
,"UE, pays avec qui faire l’Europe et fonctionnement Aujourd’hui l’Europe fonctionne sur un modèle très particulier. Il y a plusieurs « groupes » de pays. Explication : les pays suivants fonctionnent par pairs > Portugal/Espagne/Andorre, France/Belgique/Monaco, Italie/Suisse/San Marin , Royaume Unis/ Ireland/ Iles anglo-normandes , Allemagne/Autriche/Liechtenstein  , Danemark/Suède/Finlande/Norvège. A cela on peut ajouter des pays un plus satellite : Luxembourg, Pays Bas, Island et Grèce. Cela fait déjà 23 pays. Au lieu d’aller ajouter des pays à la ramasse genre Pologne, Roumanie, Hongrie … qui nous envoient bon nombres de problèmes sociaux. Pourquoi ne pas en profiter pour « dégrossir » le mammouth UE ? On ne fonctionne pas à 27 et alors on peut dégrossir et faire un coup de ménage !"
"Impôts, dépenses, action publique","Paradoxe du chômage & manque à gagner des cotisations sociales La France compte 29,5 millions d’actifs pour 3 millions de chômeurs et 26,5 millions de travailleurs. Les 26,5 millions de travailleurs génèrent entre 700 et 800 milliards de cotisations sociales. Paradoxalement les 3 millions de chômeurs ne permettent pas de collecter 70 à 80 milliards de cotisations. En réduisant ne serait-ce que de 25% le nombre de chômeurs, l’état peut récupérer 15 à 20 milliards de cotisations sociales. Pour informations, salaire moyenne annuel brut en France 28 000 €, on prendra comme base de calcul 1 € de salaire brut équivaut à 1 € de cotisation sociale. "
"Impôts, dépenses, action publique","Personnalisation des plaques d’immatriculation  En l’échange d’une redevance à payer lors de l’immatriculation d’un véhicule, permettre au propriétaire de choisir ce qu’il veut noter sur sa plaque. Le montant de la redevance est fixer , un peu sur la taxe de 1000 € qui l’autorise en Belgique ou au Royaume Unis."
Démocratie et citoyenneté,"RIC forme générale La nécessité d’un RIC à trois étages :
+ avec 300,000 signatures par exemple pour demander l’examen d’une loi par les deux assemblées, cet examen pouvant intégrer bien spûr les amendements des parlementaires, mais devant aller jusqu’au vote de chaque assemblée
+ avec 700,000 signatures pour demander l’annulation d’une loi, là aussi avec un nouveau vote au Parlement….pour la maintenir, les parlementaires devraient dans ce cas voter à 60 % de majorité pour la maintenir ;
+ avec 1, 5 millions de signatures pour un changement constitutionnel, aboutissant à un référendum où une majorité des inscrits doit  être rassemblé pour pouvoir être effectif. Les deux assemblées peuvent amender la proposition, avec une majorité de 66% avant le référendum
Sur chacune de ces propositions, les parlementaires doivent voter individuellement et publiquement, les électeurs devant pouvoir connaître précisément leur vote"
,"Pour en finir avec la monarchie élective  Désynchroniser les élections législatives et présidentielles.
Renouer avec le septennat présidentiel, les députés élues pour 4 ans. 
"
,"Emplois collectivités territoriales Certaines entreprises privées abusent des CDI de courte durée ; je souhaite soulever le problème des collectivités territoriales qui elles mêmes emploient des jeunes en contrat de courte durée , quelques heures par semaine parfois pour les activités du midi ou l'après midi des écoles  ; les jeunes bénéficient d'un salaire fonction du nombre d'heures réalisées dans le mois pendant le temps scolaire et donc pendant les vacances ne ils ne sont pas payés ; c'est une réelle précarité d'autant plus qu'ils ne sont pas payé en fin de mois mais longtemps après ; il faut que ces contrats soient réglementés afin de donner à ces jeunes de réelles perspectives de salaire et d'évolution et qu'ils bénéficient de salaire fixe mensuel leur permettant de vivre dignement ; aussi je propose que les contrats proposés le soient pour toute l'année scolaire avec un fixe mensuel afin que ces jeunes puissent  avoir un salaire également pendant les vacances."
Autre sujet,"Un vrai métier et un vrai statut pour les Aides de Vie Scolaire! Que l’Éducation nationale arrête de traiter les AESH ( ex Aides de Vie Scolaire) avec autant de mépris !!! Statut sans aucune reconnaissance, droit à aucune initiative dans son travail (pas même celui de faire un petit compte rendu de la journée avec les parents de l’enfant dont on s’occupe...) 
On promet des CDI au bout de 6 années en tant qu’AESH mais la plupart du temps les contrats ne sont pas renouvelés... Que l’État commence à avoir de la considération pour ce métier et ceux qui l'exercent... "
Transition écologique,Suppression low cost Il faut supprimer les compagnies aériennes low cost. Le transport aérien doit coûter un vrai prix et donc doit rester cher. Si on veut sauver la planète il faut limiter au maximum le transport aérien
,"Gestion des droits sociaux Mettre en place une sorte de super-structure (ou un super-programme) pour que les aides dont les citoyens peuvent bénéficier leur soient attribuées d'office sur étude de leur situation, comme c'est le cas pour le chèque énergie que l'on reçoit d'office si on y a droit.
Cette proposition concerne notamment le RSA, la CMU/ACS, soumis à des procédures administratives lourdes."
Transition écologique,"Mesures d'urgence nécessaires au changement de dépendance à la voiture & Le Gouvernement doit acter une aide financière à la mobilité solidaire en prenant en compte les deux critères suivants :
 - la localisation ou 
- l’absence d’alternatives pour se déplacer autrement qu’avec la voiture et le faible niveau de ressources. Cette aide ne devrait pas être réservée qu’aux actifs pour ne laisser personne sur le carreau. Elle serait d’autant plus justifiée qu’actuellement, le chèque énergie mis en place pour aider les personnes précaires d’un point de vue énergétique est insuffisant (150 euros en moyenne contre 600 euros nécessaires)
"
,"Exemplarité des politiques  Il y a trop de parlementaires 
Trop rémunérés même quand ils ne siègent pas . 
L état doit montrer l exemple ! Réduire ses dépenses . Voiture réfection de l Élysée 
Il est inadmissible que les parlementaires , les sénateurs votent leur salaire . Les autres salariés votent leurs salaires ? 
Leur indemnité  doit aussi être décidée par le « patron » ou indexée sur le rythme de la valorisa Tino du smic "
Organisation de l’Etat et des collectivités publiques,Renforcer le pouvoir des maires  Notre premier interlocuteur est notre maire . Il est plus facile à contacter à rencontrer que nos députés . Eux ne sont visibles que lors des campagnes législatives . Le grand débat doit continuer avec des réunions  regulieres avec les maires qui eux connaissent leurs administrés et sauront faire remonter les demandes du peuple 
Transition écologique,"Mesures d'urgence nécessaires au changement de dépendance à la voiture & Une prime à la conversion, qui accompagne des ménages qui n’ont d’autre choix que la voiture, devrait évoluer pour exclure 
les véhicules diesels puis essence neufs de la prime ainsi que 
l’achat de véhicules surdimensionnés et donc, plus gourmands en carburant (comme les hybrides SUV par exemple). Et ce, afin de ne pas maintenir les Français dans le piège du diesel et de l’essence. Via ce recentrage, son montant pourrait être revu à la hausse pour les ménages qui en ont le plus besoin. 
"
Autre sujet,"Modifier la loi ""alimention"" Annuler la suppression des super-promos sur les produits issus des grands groupes industriels.
En effet, c'est pénalisant pour le pouvoir d'achat et rien ne garantit qu'il y ait un transfert vers les produits agricoles qui eux ne doivent pas bénéficier du tout de promos ""vente à perte"", il en va de notre agriculture.
Par ailleurs ces super promos sont des pseudos pertes infinitésimales aux regard des bénéfices engrangés par ces groupes."
Autre sujet,"Adapter les prix aux volumes Faire en sorte que : plus le volume et/ou le poids d'un produit est grand, plus le prix au litre/kilo devrait baisser, ce qui est loin d'être le cas actuellement.
Par exemple, le prix au litre d'une bourriche 5l devrait être moins cher que le prix au litre d'un pack de 6 bouteilles d'eau 1,5l.
ou encore : le prix au kilo d'un paquet de céréales de 780g devrait être moins cher que le prix au kilo du même paquet proposé à 480g
etc, etc..
Les exemples sont très très nombreux.
C'est bon pour la planète et c'est bon pour le prote-monnaie!
Et puis, il faut inciter fermement les groupes industriels à le faire et pourquoi pas fixer une amende en cas de non-respect et qui serait reversée pour l'écologie.
"
Transition écologique,"Mesures d'urgence d'accompagnement au changement de dépendance à la voiture - Pour accompagner l’achat de véhicules moins émetteurs, parallèlement à la prime à la conversion, un prêt à taux zéro
devrait être mis en place pour combler le reste à charge lié à 
l’achat d’un véhicule sobre, ne consommant ni diesel ni essence
- Afin que les Français puissent s’y retrouver dans les aides et les soutiens dont ils peuvent bénéficier pour les accompagner face à la hausse des prix des carburants, un guichet unique devrait être mis en place. Il permettrait de donner au public l’ensemble des informations sur les aides financières existantes au niveau local, régional et national. Il permettrait également de donner accès aux solutions de déplacements alternatives, qui concilient différents modes de transports. 
 "
Transition écologique,"Les transports, un ""service public"", gratuit? Rappeler la notion de ""service public"" (notion morale au moins) aux sociétés de transport en commun.
En période de transition écologique, il n'est pas normal de voir des lignes de bus, de train supprimées, des arrêts supprimés sous couvert de non-rentabilité.
En période de transition écologique, les transports en commun se doivent 
 (et nous doivent ) de se mettre au service de cette cause et donc des citoyens désireux d'aider la planète.
On peut aussi envisager une gratuité des bus/métro/tramways le samedi et le mercredi pour inciter les gens à ré-investir les centres-villes, ou sur les périodes clé de l'année (fêtes de fin d'année, soldes...)
Cela limiterait les bouchons, donc la pollution, donc les pbs de santé...
On peut aussi envisager de reverser la somme dégagée par les titres de transport ces jours-là à des actions en faveur de l'écologie locale
"
Transition écologique,"Isoler correctement les logements en location J'ai constaté beaucoup de logements qui sont très peu isolés, voir même de ressentir l'air froid de dehors comme si on y était l'hiver ! Et je parle là de bâtiments récents ! (2011, 2017).

Les constructions sont aujourd'hui bâclés et à ce rythme on peut toujours produire plus d'énergie à l'infini. Aucun contrôle sérieux n'est fait et si peu que le propriétaire ne s'y connais pas, il passe à coté.

On parle aujourd'hui d'économie d'énergie mais si les propriétaires ne sont pas motivé pour faire le maximum pour isoler leurs bien loués, les locataires n'ont qu'a continuer de payer... 

Donc autrement dit, ça n'est pas leur problème , d’où le problème de ces logements loués et il y en a beaucoup comme ça.

Je n'ai pas la solution mais il faudrait trouver un moyen d'inciter les propriétaires à prendre conscience et à agir."
Transition écologique,"Pouvoir d'achat et transition écologique Redonner du pouvoir d'achat aux consommateurs va forcément améliorer les comportements pro-transition écologique.
Les Français sont volontaires mais trop contraints par la survie quotidienne.
Avec un meilleur reste à vivre, les choix de consommation se reporteront pour une bonne part sur des produits bio, eco-responsables...
"
